token;tag;wordnet;
lasaña;B-R;ili-30-07870167-n;
DE;I-R;-;
pollo;I-R;ili-30-07644967-n;
CON;I-R;-;
queso;I-R;ili-30-07850329-n;
Y;I-R;-;
jamón;I-R;ili-30-07669891-n;
el;O;;
lasaña;B-R;ili-30-07870167-n;
de;I-R;-;
pollo;I-R;ili-30-07644967-n;
con;I-R;-;
queso;I-R;ili-30-07850329-n;
y;I-R;-;
jamón;I-R;ili-30-07669891-n;
ser;O;;
sencillamente;O;;
deliciós;O;;
,;O;;
con;O;;
sabor;O;;
de;O;;
siempre;O;;
pero;O;;
con;O;;
uno;O;;
puntito;O;;
mucho;O;;
sabroso;O;;
y;O;;
que;O;;
combinar;O;;
de;O;;
maravilla;O;;
con;O;;
el;O;;
cremosidad;O;;
de;O;;
el;O;;
bechamel;B-R;ili-30-07837362-n;
.;O;;
cómo;O;;
hacer;O;;
lasaña;B-R;ili-30-07870167-n;
DE;I-R;-;
pollo;I-R;ili-30-07644967-n;
CON;I-R;-;
queso;I-R;ili-30-07850329-n;
Y;I-R;-;
jamón;I-R;ili-30-07669891-n;
el;O;-;
lasaña;B-R;ili-30-07870167-n;
de;I-R;-;
pollo;I-R;ili-30-07644967-n;
con;I-R;-;
queso;I-R;ili-30-07850329-n;
y;I-R;-;
jamón;I-R;ili-30-07669891-n;
ser;O;;
uno;O;;
absoluto;O;;
maravilla;O;;
,;O;;
uno;O;;
plato;O;;
súper;O;;
completo;O;;
y;O;;
que;O;;
no;O;;
tener;O;;
gran;O;;
dificultad;O;;
.;O;;
él;O;;
único;O;;
más;O;;
complicado;O;;
ante;O;;
él;O;;
que;O;;
tú;O;;
poder;O;;
encontrar;O;;
ser;O;;
con;O;;
el;O;;
salsa;B-R;ili-30-07837362-n;
bechamel;I-R;ili-30-07837362-n;
,;O;;
para;O;;
el;O;;
cual;O;;
tenéis;O;;
uno;O;;
artículo;O;;
explicadísimo;O;;
paso;O;;
a;O;;
paso;O;;
(;O;;
tú;O;;
él;O;;
indico;O;;
más;O;;
abajo;O;;
);O;;
y;O;;
que;O;;
ya;O;;
sabéis;O;;
que;O;;
requerir;O;;
de;O;;
uno;O;;
poco;O;;
de;O;;
práctica;O;;
para;O;;
poder;O;;
conseguir;O;;
uno;O;;
salsa;B-R;ili-30-07829412-n;
alucinant;O;;
.;O;;
cómo;O;;
hacer;O;;
lasaña;B-R;ili-30-07870167-n;
DE;I-R;-;
pollo;I-R;ili-30-07644967-n;
CON;I-R;-;
queso;I-R;ili-30-07850329-n;
Y;I-R;-;
jamón;I-R;ili-30-07669891-n;
Para;O;;
dos;O;;
persona;O;;
:;O;;
1;O;;
pechuga;B-IN-ME;ili-30-07648408-n;
de;I-IN-ME;-;
pollo;I-IN-ME;ili-30-07644967-n;
jamón;B-IN-ME;ili-30-07669891-n;
cocido;I-IN-ME;ili-30-00616822-a;
Queso;B-IN-M-AM;ili-30-07850329-n;
edam;I-IN-M-AM;ili-30-07853445-n;
en;O;;
loncha;O;;
tomate;B-IN-FV;ili-30-07734017-n;
seco;B-IN-FV;ili-30-01072382-a;
en;O;;
aceite;B-IN-FO;ili-30-07673397-n;
de;I-IN-FO;-;
oliva;I-IN-FO;ili-30-07767344-n;
1/2;O;;
cebolla;B-IN-FV;ili-30-07722217-n;
3;O;;
placa;B-IN-PT-AG;-;
de;I-IN-PT-AG;-;
lasaña;I-IN-PT-AG;ili-30-07701053-n;
queso;B-IN-M-AM;ili-30-07850329-n;
rallado;O;;
para;O;;
gratinar;O;;
1/4;O;;
vino;B-IN-AB-ASD;ili-30-07891726-n;
para;O;;
guisar;O;;
Pimienta;B-IN-HS;ili-30-07815588-n;
recién;O;;
molido;O;;
Sal;B-IN-HS;ili-30-07813107-n;
Aceite;B-IN-FO;ili-30-07673397-n;
de;I-IN-FO;-;
oliva;I-IN-FO;ili-30-07767344-n;
Para;O;;
el;O;;
bechamel;B-R;ili-30-07837362-n;
Mantequilla;B-IN-M-AM;ili-30-07848338-n;
Leche;B-IN-M-AM;ili-30-07844042-n;
entero;I-IN-M-AM;ili-30-00514884-a;
2;O;;
cucharada;O;;
de;O;;
harina;B-IN-BP-AG;ili-30-07569106-n;
Nuez;B-IN-HS;ili-30-07815424-n;
moscado;I-IN-HS;ili-30-07815424-n;
cómo;O;;
hacer;O;;
lasaña;B-R;ili-30-07870167-n;
DE;I-R;-;
pollo;I-R;ili-30-07644967-n;
CON;I-R;-;
queso;I-R;ili-30-07850329-n;
Y;I-R;-;
jamón;I-R;ili-30-07669891-n;
Limpia;O;;
y;O;;
pico;O;;
el;O;;
cebolla;B-IN-FV;ili-30-07722217-n;
en;O;;
trocito;O;;
pequeño;O;;
.;O;;
poner;O;;
el;O;;
sartén;B-E-U;ili-30-03400231-n;
al;O;;
fuego;O;;
con;O;;
uno;O;;
poco;O;;
de;O;;
aceite;B-IN-FO;ili-30-07673397-n;
de;I-IN-FO;-;
oliva;I-IN-FO;ili-30-07767344-n;
y;O;;
,;O;;
cuando;O;;
estar;O;;
caliente;O;;
,;O;;
añadir;O;;
el;O;;
cebolla;B-IN-FV;ili-30-07722217-n;
con;O;;
uno;O;;
poco;O;;
de;O;;
sal;B-IN-HS;ili-30-07813107-n;
,;O;;
dejar;O;;
que;O;;
él;O;;
pochir;O;;
suavemente;O;;
.;O;;
Corta;O;;
el;O;;
pechuga;B-IN-ME;ili-30-07648408-n;
de;I-IN-ME;-;
pollo;I-IN-ME;ili-30-07644967-n;
en;O;;
dado;O;;
y;O;;
salpimienta;O;;
.;O;;
cuando;O;;
el;O;;
cebolla;B-IN-FV;ili-30-07722217-n;
estar;O;;
pochado;O;;
él;O;;
añadir;O;;
el;O;;
pollo;B-IN-ME;ili-30-07644967-n;
y;O;;
él;O;;
marcar;O;;
por;O;;
todo;O;;
el;O;;
lado;O;;
.;O;;
trocea;O;;
el;O;;
tomate;B-IN-FV;ili-30-07734017-n;
seco;I-IN-FV;ili-30-01072382-a;
y;O;;
él;O;;
añadir;O;;
también;O;;
a;O;;
el;O;;
sartén;B-E-U;ili-30-03400231-n;
.;O;;
cuando;O;;
todo;O;;
estar;O;;
doradito;O;;
,;O;;
añadir;O;;
el;O;;
vino;B-IN-AB-ASD;ili-30-07891726-n;
de;O;;
guisar;O;;
hasta;O;;
que;O;;
él;O;;
absorbar;O;;
o;O;;
reducir;O;;
.;O;;
apagas;O;;
y;O;;
reserva;O;;
.;O;;
preparar;O;;
el;O;;
salsa;B-R;ili-30-07829412-n;
bechamel;I-R;ili-30-07837362-n;
tal;O;;
y;O;;
como;O;;
tú;O;;
haber;O;;
indicar;O;;
en;O;;
«;O;;
cómo;O;;
hacer;O;;
salsa;B-R;ili-30-07829412-n;
bechamel;I-R;ili-30-07837362-n;
«;O;;
.;O;;
a;O;;
modo;O;;
de;O;;
recordatorio;O;;
resumido;O;;
:;O;;
Pon;O;;
el;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
al;O;;
fuego;O;;
y;O;;
cuando;O;;
él;O;;
derritar;O;;
añadir;O;;
el;O;;
harina;B-IN-BP-AG;ili-30-07569106-n;
,;O;;
él;O;;
dejar;O;;
uno;O;;
minuto;O;;
para;O;;
que;O;;
él;O;;
dorar;O;;
y;O;;
enseguida;O;;
añadir;O;;
leche;B-IN-M-AM;ili-30-07844042-n;
.;O;;
remover;O;;
con;O;;
constancia;O;;
y;O;;
añadir;O;;
leche;B-IN-M-AM;ili-30-07844042-n;
cada;O;;
poco;O;;
tiempo;O;;
.;O;;
el;O;;
grumo;O;;
tener;O;;
que;O;;
quedar;O;;
perfectamente;O;;
desecho;O;;
y;O;;
cuando;O;;
él;O;;
pruebes;O;;
no;O;;
deber;O;;
de;O;;
saber;O;;
ni;O;;
a;O;;
harina;B-IN-BP-AG;ili-30-07569106-n;
ni;O;;
a;O;;
leche;B-IN-M-AM;ili-30-07844042-n;
.;O;;
añadir;O;;
sal;B-IN-HS;ili-30-07813107-n;
al;O;;
gusto;O;;
y;O;;
nuez;B-IN-HS;ili-30-07815424-n;
moscado;I-IN-HS;ili-30-07815424-n;
.;O;;
cuando;O;;
él;O;;
tener;O;;
,;O;;
ya;O;;
sólo;O;;
yo;O;;
quedar;O;;
montar;O;;
el;O;;
lasaña;B-R;ili-30-07870167-n;
.;O;;
pon;O;;
uno;O;;
cuchara;O;;
de;O;;
salsa;B-R;ili-30-07829412-n;
bechamel;I-R;ili-30-07837362-n;
sobre;O;;
el;O;;
fondo;O;;
del;O;;
recipiente;B-E-U;ili-30-03094503-n;
.;O;;
colocar;O;;
uno;O;;
placa;B-IN-PT-AG;-;
de;I-IN-PT-AG;-;
lasaña;I-IN-PT-AG;ili-30-07870167-n;
y;O;;
añadir;O;;
el;O;;
pollo;B-IN-ME;ili-30-07644967-n;
,;O;;
encima;O;;
jamón;B-IN-ME;ili-30-07669891-n;
cocido;I-IN-ME;ili-30-00616822-a;
y;O;;
encima;O;;
el;O;;
queso;B-IN-M-AM;ili-30-07850329-n;
edam;I-IN-M-AM;ili-30-07853445-n;
,;O;;
cubrir;O;;
con;O;;
bechamel;B-R;ili-30-07837362-n;
y;O;;
repetir;O;;
el;O;;
operación;O;;
.;O;;
uno;O;;
vez;O;;
que;O;;
él;O;;
tengas;O;;
todo;O;;
listo;O;;
,;O;;
él;O;;
terminar;O;;
cubrir;O;;
con;O;;
bechamel;B-R;ili-30-07837362-n;
y;O;;
él;O;;
poner;O;;
uno;O;;
buen;O;;
cantidad;O;;
de;O;;
queso;B-IN-M-AM;ili-30-07850329-n;
rallado;O;;
por;O;;
encima;O;;
.;O;;
mételir;O;;
al;O;;
horno;B-E-A;ili-30-03862676-n;
precalentado;O;;
a;O;;
180;O;;
grado;O;;
durante;O;;
uno;O;;
20;O;;
minuto;O;;
.;O;;
fijaros;O;;
siempre;O;;
en;O;;
el;O;;
indicación;O;;
de;O;;
el;O;;
marca;O;;
de;O;;
placa;B-IN-PT-AG;-;
de;I-IN-PT-AG;-;
lasaña;I-IN-PT-AG;ili-30-07701053-n;
,;O;;
en;O;;
el;O;;
tiempo;O;;
recomendado;O;;
y;O;;
el;O;;
temperatura;O;;
.;O;;
uno;O;;
vez;O;;
él;O;;
tener;O;;
,;O;;
solamente;O;;
quedar;O;;
servir;O;;
y;O;;
disfrutar;O;;
.;O;;
PASTA;B-R;ili-30-07698915-n;
CUATRO;I-R;-;
quesos;I-R;ili-30-07850329-n;
,;O;;
receta;O;;
fácil;O;;
el;O;;
pasta;B-R;ili-30-07698915-n;
cuatro;I-R;-;
queso;I-R;ili-30-07850329-n;
ser;O;;
uno;O;;
de;O;;
el;O;;
cosa;O;;
más;O;;
fácil;O;;
y;O;;
sencillo;O;;
que;O;;
tú;O;;
vais;O;;
a;O;;
encontrar;O;;
,;O;;
con;O;;
uno;O;;
resultado;O;;
sorprendente;O;;
y;O;;
delicioso;O;;
.;O;;
resultar;O;;
uno;O;;
plato;O;;
tanto;O;;
fácil;O;;
que;O;;
tener;O;;
o;O;;
no;O;;
experiencia;O;;
en;O;;
el;O;;
cocina;O;;
,;O;;
ser;O;;
para;O;;
tú;O;;
.;O;;
receta;O;;
fácil;O;;
DE;O;;
pasta;B-R;ili-30-07698915-n;
CUATRO;I-R;-;
quesos;I-R;ili-30-07850329-n;
haber;O;;
optar;O;;
por;O;;
uno;O;;
mezcla;O;;
sencillo;O;;
de;O;;
queso;B-IN-M-AM;ili-30-07850329-n;
que;O;;
ser;O;;
fácil;O;;
de;O;;
encontrar;O;;
en;O;;
cualquiera;O;;
supermercado;O;;
:;O;;
gorgonzola;B-IN-M-AM;ili-30-07852376-n;
,;O;;
brie;B-IN-M-AM;ili-30-07852614-n;
,;O;;
parmesano;B-IN-M-AM;ili-30-07854348-n;
y;O;;
edam;B-IN-M-AM;ili-30-07853445-n;
.;O;;
ser;O;;
importante;O;;
utilizar;O;;
queso;B-IN-M-AM;ili-30-07850329-n;
que;O;;
fundir;O;;
bien;O;;
y;O;;
el;O;;
gorgonzola;B-IN-M-AM;ili-30-07852376-n;
él;O;;
ir;O;;
a;O;;
dar;O;;
uno;O;;
punto;O;;
de;O;;
sabor;O;;
fantástico;O;;
.;O;;
tú;O;;
recomendar;O;;
tener;O;;
en;O;;
cuenta;O;;
que;O;;
el;O;;
pasta;B-R;ili-30-07698915-n;
cuatro;I-R;-;
queso;I-R;ili-30-07850329-n;
ser;O;;
uno;O;;
plato;O;;
que;O;;
llenar;O;;
,;O;;
pues;O;;
el;O;;
salsa;B-R;ili-30-07829412-n;
de;I-R;-;
queso;I-R;ili-30-07850329-n;
sacia;O;;
bastante;O;;
.;O;;
PASTA;B-R;ili-30-07698915-n;
CUATRO;I-R;-;
quesos;I-R;ili-30-07850329-n;
–;O;;
ingredient;O;;
Para;O;;
dos;O;;
persona;O;;
:;O;;
200;O;;
gr;O;;
.;O;;
penne;B-IN-PT-AG;ili-30-07701147-n;
o;O;;
el;O;;
macarrón;B-IN-PT-AG;ili-30-07700964-n;
que;O;;
queráis;O;;
100;O;;
ml;O;;
de;O;;
leche;B-IN-M-AM;ili-30-07844042-n;
60;O;;
gr;O;;
de;O;;
gorgonzola;B-IN-M-AM;ili-30-07852376-n;
50;O;;
gr;O;;
.;O;;
de;O;;
brie;B-IN-M-AM;ili-30-07852614-n;
50;O;;
gr;O;;
de;O;;
emmental;B-IN-M-AM;ili-30-07854982-n;
40;O;;
gr;O;;
.;O;;
de;O;;
parmesano;B-IN-M-AM;ili-30-07854348-n;
(;O;;
parmigiano;B-IN-M-AM;ili-30-07854348-n;
reggiano;I-IN-M-AM;-;
);O;;
uno;O;;
cucharada;O;;
de;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
Sal;B-IN-HS;ili-30-07813107-n;
Pimienta;B-IN-HS;ili-30-07815588-n;
recién;O;;
molido;O;;
cómo;O;;
hacer;O;;
salsa;B-R;ili-30-07829412-n;
cuatro;I-R;-;
quesos;I-R;ili-30-07850329-n;
él;O;;
primero;O;;
ser;O;;
escoger;O;;
el;O;;
pasta;B-IN-PT-AG;ili-30-07698915-n;
.;O;;
yo;O;;
haber;O;;
optar;O;;
por;O;;
uno;O;;
penn;B-IN-PT-AG;ili-30-07701147-n;
y;O;;
tú;O;;
recomendar;O;;
,;O;;
como;O;;
siempre;O;;
,;O;;
que;O;;
tú;O;;
fijéis;O;;
en;O;;
el;O;;
tiempo;O;;
de;O;;
cocción;O;;
recomendado;O;;
por;O;;
el;O;;
fabricante;O;;
.;O;;
así;O;;
que;O;;
,;O;;
sólo;O;;
haber;O;;
que;O;;
poner;O;;
agua;B-IN-NAB;ili-30-07935504-n;
en;O;;
uno;O;;
cacerola;B-E-U;ili-30-03990474-n;
con;O;;
uno;O;;
poco;O;;
de;O;;
sal;B-IN-HS;ili-30-07813107-n;
.;O;;
cuando;O;;
herir;O;;
añadir;O;;
el;O;;
pasta;B-IN-PT-AG;ili-30-07698915-n;
y;O;;
él;O;;
dejar;O;;
cocer;O;;
el;O;;
tiempo;O;;
recomendado;O;;
.;O;;
mientras;O;;
tanto;O;;
preparar;O;;
el;O;;
salsa;B-R;ili-30-07829412-n;
de;I-R;-;
queso;I-R;ili-30-07850329-n;
:;O;;
En;O;;
uno;O;;
sartén;B-E-U;ili-30-03400231-n;
antiadherente;I-E-U;ili-30-02235330-a;
añadir;O;;
el;O;;
queso;B-IN-M-AM;ili-30-07850329-n;
gorgonzola;I-IN-M-AM;ili-30-07852376-n;
cortado;O;;
en;O;;
dado;O;;
,;O;;
el;O;;
brie;B-IN-M-AM;ili-30-07852614-n;
cortado;O;;
en;O;;
dado;O;;
pero;O;;
sin;O;;
el;O;;
corteza;O;;
,;O;;
el;O;;
parmesano;B-IN-M-AM;ili-30-07854348-n;
rallado;O;;
y;O;;
el;O;;
edam;B-IN-M-AM;ili-30-07853445-n;
rallado;O;;
o;O;;
troceado;O;;
(;O;;
depender;O;;
de;O;;
cómo;O;;
él;O;;
compréis;O;;
);O;;
.;O;;
añadir;O;;
uno;O;;
poco;O;;
de;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
y;O;;
uno;O;;
chorrito;O;;
de;O;;
leche;B-IN-M-AM;ili-30-07844042-n;
.;O;;
ponlo;O;;
a;O;;
fuego;O;;
bajo;O;;
y;O;;
comenzar;O;;
a;O;;
remover;O;;
de;O;;
forma;O;;
constante;O;;
para;O;;
favorecer;O;;
que;O;;
él;O;;
fundir;O;;
y;O;;
que;O;;
no;O;;
él;O;;
quemir;O;;
en;O;;
ninguno;O;;
momento;O;;
.;O;;
cuando;O;;
tengar;O;;
el;O;;
pasta;B-IN-PT-AG;ili-30-07698915-n;
,;O;;
el;O;;
poner;O;;
en;O;;
el;O;;
escurridor;B-E-U;ili-30-03066849-n;
para;O;;
que;O;;
perder;O;;
todo;O;;
el;O;;
agua;B-IN-NAB;ili-30-07935504-n;
sobrante;O;;
y;O;;
él;O;;
añades;O;;
a;O;;
el;O;;
salsa;B-R;ili-30-07829412-n;
de;I-R;-;
queso;I-R;ili-30-07850329-n;
.;O;;
o;O;;
bien;O;;
,;O;;
servir;O;;
el;O;;
pasta;B-IN-PT-AG;ili-30-07698915-n;
en;O;;
plato;B-E-U;ili-30-03959485-n;
y;O;;
él;O;;
baña;O;;
con;O;;
el;O;;
salsa;B-R;ili-30-07829412-n;
de;I-R;-;
queso;I-R;ili-30-07850329-n;
.;O;;
poder;O;;
añadir él;O;;
uno;O;;
poquito;O;;
de;O;;
pimienta;B-IN-HS;ili-30-07815588-n;
por;O;;
encima;O;;
y;O;;
a;O;;
servir;O;;
.;O;;
¡;O;;
ya;O;;
estar;O;;
listo;O;;
!;O;;
Cheesecake;B-R;-;
de;I-R;-;
dulce;I-R;ili-30-07605804-n;
de;I-R;-;
leche;I-R;-;
con;I-R;-;
brownie;I-R;ili-30-07636271-n;
.;O;;
Brownie;B-R;ili-30-07636271-n;
150;O;;
gr;O;;
.;O;;
de;O;;
chocolate;B-IN-O;ili-30-07603722-n;
negro;I-IN-O;-;
(;O;;
80%;O;;
cacao;B-IN-FV;ili-30-07755089-n;
);O;;
200;O;;
gr;O;;
.;O;;
de;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
200;O;;
gr;O;;
.;O;;
de;O;;
azúcar;B-IN-SU;ili-30-07859284-n;
80;O;;
gr;O;;
.;O;;
de;O;;
harina;B-IN-BP-AG;ili-30-07569106-n;
4;O;;
