token;tag;wordnet;
patata;I-R;ili-30-07710616-n;
CON;I-R;-;
TXAPELA;I-R;-;
Preparación;O;;
de;O;;
el;O;;
cebolla;B-R;ili-30-07722217-n;
caramelizado;I-R;ili-30-01071941-a;
Pela;O;;
el;O;;
cebolla;B-IN-FV;ili-30-07722217-n;
y;O;;
el;O;;
corto;O;;
en;O;;
tira;O;;
fino;O;;
,;O;;
en;O;;
juliana;O;;
.;O;;
poner;O;;
uno;O;;
sartén;B-E-U;ili-30-03400231-n;
antiadeherente;I-E-U;ili-30-02235330-a;
al;O;;
fuego;O;;
con;O;;
uno;O;;
chorrito;O;;
de;O;;
aceite;B-IN-FO;ili-30-07674508-n;
de;I-IN-FO;-;
oliva;I-IN-FO;-;
y;O;;
dejar;O;;
que;O;;
él;O;;
ir;O;;
pochar;O;;
poco;O;;
a;O;;
poco;O;;
,;O;;
procurar;O;;
que;O;;
no;O;;
él;O;;
quemir;O;;
.;O;;
en;O;;
el;O;;
momento;O;;
en;O;;
el;O;;
que;O;;
estar;O;;
pochado;O;;
haber;O;;
que;O;;
añadir él;O;;
el;O;;
azúcar;B-IN-SU;ili-30-07859284-n;
(;O;;
opcional;O;;
);O;;
,;O;;
remover;O;;
y;O;;
dejar;O;;
que;O;;
él;O;;
vaya;O;;
caramelizar;O;;
.;O;;
haber;O;;
que;O;;
remover;O;;
de;O;;
forma;O;;
constante;O;;
.;O;;
el;O;;
tiempo;O;;
que;O;;
tú;O;;
ir;O;;
a;O;;
llevar;O;;
ser;O;;
de;O;;
uno;O;;
20;O;;
minuto;O;;
.;O;;
uno;O;;
vez;O;;
él;O;;
tengas;O;;
,;O;;
solo;O;;
haber;O;;
que;O;;
reservar;O;;
.;O;;
Preparación;O;;
de;O;;
el;O;;
tortilla;B-R;ili-30-07842753-n;
Como;O;;
él;O;;
tratar;O;;
de;O;;
uno;O;;
tortilla;B-R;ili-30-07842753-n;
que;O;;
llevar;O;;
cebolla;B-R;ili-30-07722217-n;
caramelizado;I-R;ili-30-01071941-a;
no;O;;
haber;O;;
añadir;O;;
el;O;;
cebolleta;B-IN-FV;ili-30-07722485-n;
tierno;O;;
en;O;;
el;O;;
preparación;O;;
pero;O;;
poder;O;;
hacer él;O;;
igualmente;O;;
.;O;;
Pela;O;;
el;O;;
patata;B-IN-FV;ili-30-07710616-n;
y;O;;
el;O;;
corto;O;;
en;O;;
rodaja;O;;
con;O;;
el;O;;
grosor;O;;
de;O;;
uno;O;;
moneda;O;;
.;O;;
poder;O;;
usar;O;;
uno;O;;
mandolina;B-E-U;-;
si;O;;
tú;O;;
resultar;O;;
más;O;;
sencillo;O;;
.;O;;
pon;O;;
uno;O;;
sartén;B-E-U;ili-30-03400231-n;
al;O;;
fuego;O;;
con;O;;
abundante;O;;
aceite;B-IN-FO;ili-30-07673397-n;
,;O;;
el;O;;
calienta;O;;
a;O;;
fuego;O;;
medio;O;;
y;O;;
frí;O;;
el;O;;
patata;B-IN-FV;ili-30-07710616-n;
hasta;O;;
que;O;;
estar;O;;
tierno;O;;
.;O;;
ve;O;;
remover;O;;
el;O;;
patata;B-IN-FV;ili-30-07710616-n;
para;O;;
que;O;;
él;O;;
rompar;O;;
durante;O;;
el;O;;
fritura;O;;
.;O;;
tú;O;;
poder;O;;
llevar;O;;
uno;O;;
20;O;;
minuto;O;;
aproximadamente;O;;
.;O;;
en;O;;
uno;O;;
recipiente;O;;
bat;O;;
el;O;;
tres;O;;
huevo;B-IN-E-AE;ili-30-07840804-n;
con;O;;
uno;O;;
poquito;O;;
de;O;;
sal;B-IN-HS;ili-30-07813107-n;
.;O;;
añadir;O;;
el;O;;
patata;B-IN-FV;ili-30-07710616-n;
(;O;;
retirar;O;;
previamente;O;;
el;O;;
aceite;B-IN-FO;ili-30-07673397-n;
sobrante;O;;
);O;;
y;O;;
él;O;;
mezcla;O;;
con;O;;
el;O;;
huevo;B-IN-E-AE;ili-30-07840804-n;
.;O;;
déjalir;O;;
que;O;;
repo él;O;;
durante;O;;
uno;O;;
15;O;;
minuto;O;;
.;O;;
utilizar;O;;
uno;O;;
sartén;B-E-U;ili-30-03400231-n;
antiadherente;I-E-U;ili-30-02235330-a;
con;O;;
uno;O;;
poquito;O;;
de;O;;
aceite;B-IN-FO;ili-30-07673397-n;
de;O;;
oliva;O;;
y;O;;
cuando;O;;
estar;O;;
bien;O;;
caliente;O;;
él;O;;
añadir;O;;
el;O;;
mezcla;O;;
de;O;;
huevo;B-IN-E-AE;ili-30-07840804-n;
y;O;;
patata;B-IN-FV;ili-30-07710616-n;
.;O;;
dejar;O;;
que;O;;
él;O;;
cocinar;O;;
a;O;;
fuego;O;;
medio;O;;
.;O;;
el;O;;
tiempo;O;;
aproximado;O;;
ser;O;;
de;O;;
45;O;;
segundo;O;;
por;O;;
uno;O;;
lado;O;;
,;O;;
el;O;;
vuelcas;O;;
sobre;O;;
uno;O;;
plato;B-E-U;ili-30-03206908-n;
con;O;;
uno;O;;
ligero;O;;
gota;O;;
de;O;;
aceite;B-IN-FO;ili-30-07673397-n;
,;O;;
dejar;O;;
que;O;;
el;O;;
sartén;B-E-U;ili-30-03400231-n;
vuelca;O;;
a;O;;
calentar él;O;;
bien;O;;
y;O;;
añad;O;;
de;O;;
nuevo;O;;
el;O;;
tortilla;B-R;ili-30-07842753-n;
otro;O;;
45;O;;
segundo;O;;
.;O;;
uno;O;;
vez;O;;
él;O;;
tengas;O;;
,;O;;
el;O;;
saca;O;;
y;O;;
reserva;O;;
.;O;;
montaje;O;;
de;O;;
el;O;;
tortilla;B-R;ili-30-07842753-n;
Sobre;O;;
el;O;;
tortilla;B-R;ili-30-07842753-n;
de;I-R;-;
patata;I-R;ili-30-07710616-n;
que;O;;
haber;O;;
preparar;O;;
colocar;O;;
uno;O;;
buen;O;;
capa;O;;
de;O;;
cebolla;B-R;ili-30-07722217-n;
caramelizado;I-R;ili-30-01071941-a;
.;O;;
a;O;;
continuación;O;;
,;O;;
corto;O;;
el;O;;
queso;B-IN-M-AM;ili-30-07850329-n;
brie;I-IN-M-AM;ili-30-07852614-n;
y;O;;
él;O;;
colocar;O;;
por;O;;
encima;O;;
de;O;;
el;O;;
cebolla;B-IN-FV;ili-30-07722217-n;
.;O;;
Bate;O;;
uno;O;;
huevo;B-IN-E-AE;ili-30-07840804-n;
con;O;;
uno;O;;
pizca;O;;
de;O;;
sal;B-IN-HS;ili-30-07813107-n;
y;O;;
preparar;O;;
uno;O;;
tortilla;B-R;ili-30-07842753-n;
francés;I-R;ili-30-02958392-a;
,;O;;
este;O;;
haber;O;;
de;O;;
ser;O;;
del;O;;
ancho;O;;
del;O;;
relleno;O;;
y;O;;
,;O;;
uno;O;;
vez;O;;
el;O;;
tengas;O;;
,;O;;
el;O;;
colocar;O;;
por;O;;
encima;O;;
.;O;;
con;O;;
este;O;;
ya;O;;
solo;O;;
quedar;O;;
servir;O;;
y;O;;
disfrutar;O;;
de;O;;
semejante;O;;
bocado;O;;
.;O;;
galletas;B-R;-;
DE;I-R;-;
CHOCOLATE;I-R;-;
BLANCO;I-R;-;
Y;I-R;-;
MACADAMIA;I-R;-;
este;O;;
galleta;B-R;-;
tener;O;;
que;O;;
quedar;O;;
uno;O;;
poco;O;;
blandita;O;;
por;O;;
dentro;O;;
,;O;;
por;O;;
él;O;;
que;O;;
tenedlo;O;;
en;O;;
cuenta;O;;
en;O;;
el;O;;
tiempo;O;;
de;O;;
cocción;O;;
.;O;;
a;O;;
su;O;;
vez;O;;
,;O;;
veréis;O;;
también;O;;
que;O;;
él;O;;
ir;O;;
a;O;;
endurecer;O;;
y;O;;
volver;O;;
más;O;;
crujient;O;;
cuando;O;;
él;O;;
ir;O;;
enfriar;O;;
,;O;;
por;O;;
él;O;;
que;O;;
no;O;;
tú;O;;
preocupéis;O;;
si;O;;
estar;O;;
blandita;O;;
al;O;;
retirar él;O;;
.;O;;
360;O;;
gr;O;;
.;O;;
de;O;;
harina;B-IN-BP-AG;ili-30-07569106-n;
de;I-IN-BP-AG;-;
repostería;I-IN-BP-AG;-;
200;O;;
gr;O;;
.;O;;
chocolate;B-IN-O;ili-30-07604587-n;
blanco;I-IN-O;-;
1;O;;
pizca;O;;
de;O;;
sal;B-IN-HS;ili-30-07813107-n;
160;O;;
gr;O;;
.;O;;
de;O;;
azúcar;B-IN-SU;ili-30-07596452-n;
moreno;I-IN-SU;-;
2;O;;
huevo;B-IN-E-AE;ili-30-07840804-n;
1;O;;
sobre;O;;
de;O;;
levadura;B-IN-BP-AG;ili-30-15106271-n;
royal;I-IN-BP-AG;-;
(;O;;
16;O;;
gr;O;;
);O;;
120;O;;
gr;O;;
.;O;;
de;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
1;O;;
vaina;B-IN-FV;ili-30-07828642-n;
de;I-IN-FV;-;
vainilla;I-IN-FV;-;
Para;O;;
preparar;O;;
este;O;;
galleta;B-R;-;
él;O;;
ideal;O;;
ser;O;;
que;O;;
el;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
estar;O;;
reblandecido;O;;
,;O;;
él;O;;
que;O;;
podéis;O;;
conseguir;O;;
fácilmente;O;;
si;O;;
dejáis;O;;
el;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
a;O;;
temperatura;O;;
ambiente;O;;
uno;O;;
ratito;O;;
antes;O;;
.;O;;
él;O;;
mejor;O;;
ser;O;;
evitar;O;;
que;O;;
no;O;;
tener;O;;
que;O;;
ser;O;;
introducir;O;;
en;O;;
el;O;;
microondas;B-E-A;ili-30-03761084-n;
.;O;;
antes;O;;
de;O;;
poner tú;O;;
a;O;;
preparar;O;;
el;O;;
masa;B-R;-;
,;O;;
picad;O;;
el;O;;
nuez;B-IN-N-AN;ili-30-07771212-n;nuez'
de;I-IN-N-AN;-;
macadamia;I-IN-N-AN;ili-30-12221191-n;macadamia'
.;O;;
si;O;;
utilizáis;O;;
uno;O;;
picadora;B-E-A;ili-30-03767966-n;
eléctrico;I-E-A;-;
tened;O;;
cuidado;O;;
tanto;O;;
de;O;;
el;O;;
velocidad;O;;
como;O;;
del;O;;
tiempo;O;;
,;O;;
puesto;O;;
que;O;;
tú;O;;
poder;O;;
quedar;O;;
con;O;;
uno;O;;
nuez;B-IN-N-AN;ili-30-07771212-n;
excesivamente;O;;
picada;O;;
";";O;;
si;O;;
él;O;;
hacer;O;;
a;O;;
mano;O;;
tú;O;;
llevar;O;;
uno;O;;
poco;O;;
más;O;;
de;O;;
tiempo;O;;
,;O;;
pero;O;;
poder;O;;
calcular;O;;
el;O;;
tamaño;O;;
de;O;;
el;O;;
nuez;B-IN-N-AN;ili-30-07771212-n;
.;O;;
con;O;;
respecto;O;;
al;O;;
chocolate;B-IN-O;ili-30-07604587-n;
blanco;I-IN-O;-;
,;O;;
si;O;;
habéis;O;;
comprar;O;;
el;O;;
tableta;O;;
ser;O;;
el;O;;
momento;O;;
de;O;;
picar él;O;;
.;O;;
para;O;;
el;O;;
tamaño;O;;
,;O;;
poder;O;;
tener;O;;
como;O;;
idea;O;;
el;O;;
tamaño;O;;
de;O;;
el;O;;
gota;O;;
de;O;;
chocolate;B-IN-O;ili-30-07604587-n;
.;O;;
poned;O;;
el;O;;
horno;B-E-A;ili-30-03862676-n;
a;O;;
precalentar;O;;
a;O;;
180º;O;;
,;O;;
veréis;O;;
que;O;;
él;O;;
tardar;O;;
poco;O;;
en;O;;
hacer;O;;
este;O;;
galleta;B-R;;
.;O;;
pon;O;;
el;O;;
mantequilla;B-IN-M-AM;ili-30-07848338-n;
en;O;;
uno;O;;
recipiente;B-E-U;ili-30-03094503-n;
junto;O;;
con;O;;
el;O;;
huevo;B-IN-E-AE;ili-30-07840804-n;
y;O;;
el;O;;
azúcar;B-IN-SU;ili-30-07596452-n;
moreno;I-IN-SU;-;
,;O;;
echar;O;;
el;O;;
pizca;O;;
de;O;;
sal;B-IN-HS;ili-30-07813107-n;
(;O;;
marca;O;;
el;O;;
diferencia;O;;
);O;;
.;O;;
si;O;;
tenéis;O;;
uno;O;;
varilla;B-E-A;ili-30-02850732-n;
eléctrico;I-E-A;-;
en;O;;
casa;O;;
veréis;O;;
que;O;;
en;O;;
poco;O;;
minuto;O;;
vais;O;;
a;O;;
conseguir;O;;
uno;O;;
mezcla;O;;
él;O;;
más;O;;
homogéneo;O;;
posible;O;;
.;O;;
añadid;O;;
el;O;;
harina;B-IN-BP-AG;ili-30-07569106-n;
junto;O;;
con;O;;
el;O;;
levadura;B-IN-BP-AG;ili-30-15106271-n;
y;O;;
él;O;;
mezcláis;O;;
bien;O;;
,;O;;
hasta;O;;
que;O;;
todo;O;;
el;O;;
ingrediente;O;;
estar;O;;
integrado;O;;
.;O;;
a;O;;
continuación;O;;
,;O;;
añadir;O;;
el;O;;
chocolate;B-IN-O;ili-30-07604587-n;
y;O;;
el;O;;
nuez;B-IN-N-AN;ili-30-07771212-n;
que;O;;
ya;O;;
tener;O;;
picada;O;;
,;O;;
introduz;O;;
el;O;;
mano;O;;
y;O;;
a;O;;
mezclar;O;;
.;O;;
Forra;O;;
con;O;;
papel;O;;
de;O;;
horno;O;;
el;O;;
rejilla;B-E-U;ili-30-03454536-n;
o;O;;
bandeja;B-E-U;ili-30-04476259-n;
que;O;;
vayar;O;;
a;O;;
utilizar;O;;
para;O;;
hornear él;O;;
.;O;;
poder;O;;
utilizar;O;;
uno;O;;
cucharilla;B-E-U;ili-30-04398688-n;
o;O;;
uno;O;;
cuchara;B-E-U;ili-30-03180384-n;
de;I-E-U;-;
helado;I-E-U;-;
como;O;;
medidor;O;;
para;O;;
que;O;;
todo;O;;
el;O;;
galleta;B-R;-;
tener;O;;
uno;O;;
tamaño;O;;
similar;O;;
.;O;;
hacer;O;;
uno;O;;
bola;O;;
,;O;;
el;O;;
colocas;O;;
sobre;O;;
el;O;;
papel;O;;
,;O;;
presionas;O;;
ligeramente;O;;
con;O;;
el;O;;
dedo;O;;
y;O;;
listo;O;;
.;O;;
no;O;;
hacer;O;;
falta;O;;
que;O;;
el;O;;
coloqu;O;;
con;O;;
gran;O;;
distancia;O;;
.;O;;
él;O;;
dejar;O;;
en;O;;
el;O;;
horno;B-E-A;ili-30-03862676-n;
entre;O;;
10;O;;
y;O;;
12;O;;
minuto;O;;
,;O;;
después;O;;
sólo;O;;
haber;O;;
que;O;;
dejar él;O;;
enfriar;O;;
sobre;O;;
uno;O;;
rejilla;B-E-U;ili-30-03454536-n;
.;O;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
